step	dice_multi
0	0.49580101619694394
1	0.49580101619694394
2	0.8766156894979245
3	0.8936748948226215
4	0.911648717694153
5	0.9160191395793732
6	0.9180852437978371
7	0.9188962709531125
8	0.9194295139955972
